languagerepresentation, length, time, datastructure, normtime
Scala-BitString, 16384, 16.482310471, BitString, 0.219063146307675
Scala-BitString, 256, 0.287573328, BitString, 0.20792812365785
Scala-BitString, 2048, 2.09180867, BitString, 0.250712434820191
Scala-BitString, 4096, 4.099220507, BitString, 0.248249839333643
Scala-BitString, 64, 0.088108213, BitString, 0.133228614717895
Scala-BitString, 128, 0.153541935, BitString, 0.170877642732895
Scala-BitString, 16, 0.069225338, BitString, 0.143477853013901
Scala-BitString, 32768, 32.911675214, BitString, 0.215450358859118
Scala-BitString, 1024, 1.070608829, BitString, 0.246931220788734
Scala-BitString, 8192, 8.213048196, BitString, 0.23477366630731
Scala-BitString, 512, 0.544505181, BitString, 0.229854250152496
Scala-BitString, 32, 0.062408061, BitString, 0.11543324602972
CSharp-BitVector, 8192, 0.0017144, BitVector, 4.90068929235407e-05
CSharp-BitVector, 32, 0.0017432, BitVector, 0.00322431479611277
CSharp-BitVector, 512, 0.0017323, BitVector, 0.000731263046584618
CSharp-BitVector, 32768, 0.0017374, BitVector, 1.13735764298804e-05
CSharp-BitVector, 1024, 0.001726, BitVector, 0.000398094313755519
CSharp-BitVector, 64, 0.0018836, BitVector, 0.00284819553294795
CSharp-BitVector, 4096, 0.0017518, BitVector, 0.000106089454763912
CSharp-BitVector, 128, 0.0021962, BitVector, 0.00244416275573174
CSharp-BitVector, 16, 0.0019007, BitVector, 0.00393942973920217
CSharp-BitVector, 16384, 0.0017219, BitVector, 2.28854341926675e-05
CSharp-BitVector, 256, 0.0018554, BitVector, 0.00134153554266609
CSharp-BitVector, 2048, 0.0017464, BitVector, 0.00020931369223648
node-BitString, 128, 0.218481655, BitString, 0.24314940531902
node-BitString, 16, 0.210897321, BitString, 0.43711010589018
node-BitString, 64, 0.215479091, BitString, 0.325826387996329
node-BitString, 4096, 0.515902097, BitString, 0.0312431625655262
node-BitString, 2048, 0.320328335, BitString, 0.0383927545389454
node-BitString, 256, 0.229613131, BitString, 0.16602036019152
node-BitString, 16384, 2.025618263, BitString, 0.0269220938831244
node-BitString, 32, 0.214522753, BitString, 0.39679261507615
node-BitString, 512, 0.240409293, BitString, 0.101484980676808
node-BitString, 8192, 0.991518485, BitString, 0.0283430005985221
node-BitString, 1024, 0.260645143, BitString, 0.0601166566258947
node-BitString, 32768, 3.815266667, BitString, 0.0249759566234026
perl-BitString, 16384, 75.239997, BitString, 1
perl-BitString, 256, 1.383042, BitString, 1
perl-BitString, 2048, 8.343458, BitString, 1
perl-BitString, 64, 0.661331, BitString, 1
perl-BitString, 4096, 16.51248, BitString, 1
perl-BitString, 16, 0.482481, BitString, 1
