languagerepresentation, length, time, datastructure, normtime
perl5.20-BitString, 32768, 208.172891, BitString, 0.202127341451115
perl5.20-BitString, 1024, 6.623077, BitString, 0.188615491528164
perl5.20-BitString, 16384, 105.121042, BitString, 0.203611525178229
perl5.20-BitString, 32, 0.272372, BitString, 0.0646913355051336
perl5.20-BitString, 16, 0.16806, BitString, 0.0468203348353209
perl5.20-BitString, 8192, 52.35834, BitString, 0.201175586600848
perl5.20-BitString, 128, 0.907606, BitString, 0.125507797791072
perl5.20-BitString, 2048, 13.058349, BitString, 0.195299328528063
perl5.20-BitString, 512, 3.336159, BitString, 0.173546319729289
perl5.20-BitString, 256, 1.701757, BitString, 0.150871790225286
perl5.20-BitString, 4096, 25.76566, BitString, 0.196652208043197
perl5.20-BitString, 64, 0.489, BitString, 0.0918321413621542
Go-BitVector, 1024, 4.733068376, BitVector, 0.134790825801308
Go-BitVector, 32768, 147.824960979, BitVector, 0.143531975845981
Go-BitVector, 4096, 19.083063225, BitVector, 0.14564837537343
Go-BitVector, 64, 0.337457361, BitVector, 0.0633730717363017
Go-BitVector, 256, 1.238751016, BitVector, 0.109823308161689
Go-BitVector, 128, 0.638677202, BitVector, 0.0883191264958402
Go-BitVector, 512, 2.400940805, BitVector, 0.124896457451706
Go-BitVector, 2048, 9.589567408, BitVector, 0.143420586756948
Go-BitVector, 8192, 37.943428136, BitVector, 0.145789408390467
Go-BitVector, 16, 0.103817804, BitVector, 0.0289229105387821
Go-BitVector, 32, 0.1843323, BitVector, 0.0437809417404613
Go-BitVector, 16384, 74.034972572, BitVector, 0.143400154670397
PHP-BitString, 1024, 23.1806640625, BitString, 0.660151217643656
PHP-BitString, 32768, 750.64614486694, BitString, 0.728846627933332
PHP-BitString, 32, 0.74978280067444, BitString, 0.178081633627571
PHP-BitString, 16384, 366.90199613571, BitString, 0.710661477500658
PHP-BitString, 128, 2.9241468906403, BitString, 0.404364048564988
PHP-BitString, 2048, 46.095088005066, BitString, 0.68939340921516
PHP-BitString, 512, 11.622333049774, BitString, 0.604591426085016
PHP-BitString, 64, 1.478866815567, BitString, 0.277724962091917
PHP-BitString, 4096, 93.922008991241, BitString, 0.716844453120181
PHP-BitString, 256, 5.8021740913391, BitString, 0.51440034761667
PHP-BitString, 8192, 186.82227706909, BitString, 0.717824155224942
PHP-BitString, 16, 0.37885999679565, BitString, 0.105547732391294
node-BitString, 16, 0.032117729, BitString, 0.00894777356854752
node-BitString, 8192, 10.656344426, BitString, 0.0409446965072083
node-BitString, 64, 0.090131259, BitString, 0.0169262709972125
node-BitString, 4096, 5.334807623, BitString, 0.040717051243734
node-BitString, 256, 0.338841745, BitString, 0.0300405173424936
node-BitString, 512, 0.669951801, BitString, 0.0348507578504379
node-BitString, 128, 0.173591996, BitString, 0.0240050739330905
node-BitString, 2048, 2.661463661, BitString, 0.0398045775844359
node-BitString, 16384, 21.35924739, BitString, 0.041371250274869
node-BitString, 32, 0.050894419, BitString, 0.0120879823728865
node-BitString, 32768, 45.279046917, BitString, 0.0439640979803346
node-BitString, 1024, 1.343738965, BitString, 0.0382677093092866
C++-BitString, 4096, 68.5846, BitString, 0.523460801227658
C++-BitString, 256, 4.3551, BitString, 0.386107848306276
C++-BitString, 64, 1.13898, BitString, 0.213895649015678
C++-BitString, 128, 2.21816, BitString, 0.306737038702084
C++-BitString, 2048, 34.5093, BitString, 0.516117551918202
C++-BitString, 512, 8.63622, BitString, 0.449254426234625
C++-BitString, 8192, 137.109, BitString, 0.526811650316944
C++-BitString, 16, 0.320763, BitString, 0.0893623174032015
C++-BitString, 32, 0.582954, BitString, 0.138457964835077
C++-BitString, 16384, 275.517, BitString, 0.533655636542588
C++-BitString, 1024, 17.3216, BitString, 0.493293690841017
C++-BitString, 32768, 545.012, BitString, 0.529184304881249
perl-BitString, 1024, 35.114173, BitString, 1
perl-BitString, 32768, 1029.909608, BitString, 1
perl-BitString, 32, 4.210332, BitString, 1
perl-BitString, 16384, 516.282376, BitString, 1
perl-BitString, 256, 11.279491, BitString, 1
perl-BitString, 4096, 131.021463, BitString, 1
perl-BitString, 64, 5.324933, BitString, 1
perl-BitString, 512, 19.22345, BitString, 1
perl-BitString, 128, 7.231471, BitString, 1
perl-BitString, 2048, 66.863256, BitString, 1
perl-BitString, 8192, 260.261898, BitString, 1
perl-BitString, 16, 3.589466, BitString, 1
Scala-BitString, 16384, 64.932744401, BitString, 0.125769825621551
Scala-BitString, 32, 0.138533372, BitString, 0.0329031943324184
Scala-BitString, 8192, 32.141293477, BitString, 0.123495962044356
Scala-BitString, 16, 0.106083361, BitString, 0.0295540787961218
Scala-BitString, 2048, 8.325956743, BitString, 0.124522155232763
Scala-BitString, 512, 2.033624344, BitString, 0.105788729078287
Scala-BitString, 128, 0.505751517, BitString, 0.0699375710695652
Scala-BitString, 64, 0.263253553, BitString, 0.0494379089840191
Scala-BitString, 4096, 16.25921805, BitString, 0.124095836496651
Scala-BitString, 256, 1.070102061, BitString, 0.0948714849810156
Scala-BitString, 32768, 129.33726306, BitString, 0.125581179217429
Scala-BitString, 1024, 3.99146544, BitString, 0.113671064957161
