languagerepresentation, length, time, datastructure, normtime
C++-BitString, 4096, 58.858, BitString, 0.45847532928634
C++-BitString, 512, 7.47594, BitString, 0.465148099548289
C++-BitString, 64, 0.973914, BitString, 0.466291776372232
C++-BitString, 128, 1.91343, BitString, 0.474193131767627
C++-BitString, 8192, 117.86, BitString, 0.452353269454708
C++-BitString, 1024, 14.8943, BitString, 0.468611801360764
C++-BitString, 32, 0.507671, BitString, 0.46801473636085
C++-BitString, 2048, 29.8744, BitString, 0.462202233681952
C++-BitString, 32768, 469.746, BitString, 0.439156299003938
C++-BitString, 16, 0.27911, BitString, 0.374972349802781
C++-BitString, 16384, 236.469, BitString, 0.445040109395691
C++-BitString, 256, 3.73445, BitString, 0.45581398271949
Java-BitSet, 512, 0.017044779, BitSet, 0.00106051500668419
Java-BitSet, 4096, 0.030648571, BitSet, 0.000238737532389493
Java-BitSet, 64, 0.007040646, BitSet, 0.0033709293943285
Java-BitSet, 128, 0.011196423, BitSet, 0.00277473797680871
Java-BitSet, 8192, 0.046580861, BitSet, 0.000178779948815249
Java-BitSet, 32, 0.006734073, BitSet, 0.006208046943256
Java-BitSet, 1024, 0.009845389, BitSet, 0.000309760477121278
Java-BitSet, 2048, 0.01462831, BitSet, 0.00022632212051094
Java-BitSet, 32768, 0.15565695, BitSet, 0.000145520621945139
Java-BitSet, 16, 0.019414981, BitSet, 0.0260831967573585
Java-BitSet, 16384, 0.082599738, BitSet, 0.000155454611114249
Java-BitSet, 256, 0.015372861, BitSet, 0.00187635796387771
C-BitString, 128, 0.129805, BitString, 0.0321687438103807
C-BitString, 64, 0.065305, BitString, 0.0312668104740137
C-BitString, 4096, 4.240845, BitString, 0.033034129733041
C-BitString, 512, 0.518837, BitString, 0.0322816989603095
C-BitString, 32, 0.033206, BitString, 0.0306121431706723
C-BitString, 8192, 8.438042, BitString, 0.0323856769599197
C-BitString, 1024, 1.035489, BitString, 0.0325790648489191
C-BitString, 16, 0.023034, BitString, 0.0309451940287243
C-BitString, 32768, 33.249835, BitString, 0.0310846169655338
C-BitString, 2048, 2.108138, BitString, 0.0326160891100676
C-BitString, 256, 0.259115, BitString, 0.0316266759850475
C-BitString, 16384, 16.643888, BitString, 0.0313241809128876
Scala-BitVector, 16384, 144.688775524, BitVector, 0.272307611092911
Scala-BitVector, 256, 2.42401833, BitVector, 0.295867249309094
Scala-BitVector, 2048, 18.344673342, BitVector, 0.283819892444305
Scala-BitVector, 16, 0.27609606, BitVector, 0.370923250293753
Scala-BitVector, 32768, 290.245904784, BitVector, 0.271345189412983
Scala-BitVector, 1024, 9.148627659, BitVector, 0.287838628687679
Scala-BitVector, 8192, 72.447136535, BitVector, 0.27805616048056
Scala-BitVector, 32, 0.37891259, BitVector, 0.349314173771314
Scala-BitVector, 128, 1.273745151, BitVector, 0.315664122662715
Scala-BitVector, 4096, 36.445573232, BitVector, 0.283893373688719
Scala-BitVector, 512, 4.659423727, BitVector, 0.289906298285468
Scala-BitVector, 64, 0.720946991, BitVector, 0.345175911942538
node-BitString, 4096, 0.157262506, BitString, 0.00122499879749133
node-BitString, 512, 0.15672511, BitString, 0.0097513338881795
node-BitString, 64, 0.157618616, BitString, 0.0754648402671824
node-BitString, 128, 0.156915225, BitString, 0.0388872976616714
node-BitString, 1024, 0.156460626, BitString, 0.00492264126490622
node-BitString, 8192, 0.157161797, BitString, 0.000603195763671535
node-BitString, 32, 0.157202745, BitString, 0.14492299393973
node-BitString, 32768, 0.168783221, BitString, 0.000157792114607307
node-BitString, 16, 0.160806589, BitString, 0.216036775970406
node-BitString, 2048, 0.157259448, BitString, 0.00243304194002861
node-BitString, 256, 0.157834305, BitString, 0.0192647064954177
node-BitString, 16384, 0.160300963, BitString, 0.000301690107835507
python-bitstring, 512, 0.187854, bitstring, 0.0116881530740675
python-bitstring, 4096, 0.38871, bitstring, 0.00302786274163059
